id,label,shape,font.size
gbugburu,gbugburu,text,40
gbogboro,gbogboro,text,40
kpokporo,kpokporo,text,40
gbegbe,gbegbe,text,40
teteree,teteree,text,40
wosoroo,wosoroo,text,40
safaraa,safaraa,text,40
ɖɛkpɛrɛɛ,ɖɛkpɛrɛɛ,text,40
pɔlɔpɔlɔ,pɔlɔpɔlɔ,text,40
fiɛfiɛ,fiɛfiɛ,text,40
sinisini,sinisini,text,40
ɖɔbɔrɔɔ,ɖɔbɔrɔɔ,text,40
fũɛ̃fũɛ̃,fũɛ̃fũɛ̃,text,40
wurufuu,wurufuu,text,40
strength,STRONG,text,40
firmness,FIRM,text,40
toughness,TOUGH,text,40
hard,HARD,text,40
haptic touch,HAPTIC TOUCH,text,40
touch,TOUCH,text,40
surface texture,SURFACE TEXTURE,text,40
smooth,SMOOTH,text,40
malleable,MALLEABLE,text,40
soft,SOFT,text,40
grainy,GRAINY,text,40
rough,ROUGH,text,40
